,Room_ID,Title,Event,Club,Duration,Users,Max_Room_Size,Moderators,Speakers,Listeners,Bounce,Stickiness,Total_User_Time,Avg_User_Time,Avg_User_Time_New_Members,Avg_User_Time_Old_Members,Avg_Speaker_Time,Avg_Listener_Time,New_Users,New_Users_Pct,Old_Users,Old_Users_Pct,Followers
0,ME0B6Qk0,Club Names Land Grab,2021-03-06 09:16:00,Other,10.3,1411.0,71.0,25.0,97.0,1314.0,0.478,0.522,42417.0,32.28,12.8,36.26,,14.983333333333333,231.0,0.16,1180.0,0.84,
1,xoKzgAn5,Green Buttwhole TFNs,2021-03-06 11:35:00,NFT That Ass,0.6333333333333333,39.0,19.0,,13.0,26.0,0.41,0.5900000000000001,,,,,,13.466666666666667,3.0,0.08,36.0,0.92,
2,mJnN2aBn,"Green Buttwhole Sunday, New Club Initiates Welcome",2021-03-08 08:27:34,The Green Buttwhole,6.35,4140.0,,40.0,50.0,4090.0,,,42633.0,10.42,7.25,11.49,,,1037.0,0.25,3103.0,0.75,
3,P9QYROQP,The Queen’s Green Buttwhole,2021-03-09 01:41:33,The Green Buttwhole,8.283333333333333,4456.0,,43.0,52.0,4404.0,,,57592.0,13.08,7.44,15.71,,,1411.0,0.32,3045.0,0.68,
4,xoEZaa66,What the hell are NFTs? Why should I care?,2021-03-09 20:05:32,NFT That Ass,1.1166666666666667,97.0,,3.0,9.0,88.0,,,911.0,10.36,4.83,10.77,,,6.0,0.06,91.0,0.94,
5,PraB03WR,"It’s a B-U-T-T-and-Whole Tuesday, Y’all!",2021-03-10 12:33:28,The Green Buttwhole,17.25,5551.0,,86.0,103.0,5448.0,,,83932.0,15.41,9.71,17.57,,,1515.0,0.27,4036.0,0.73,
6,M50pODjq,Green Buttwhole presents Hamilton Auditions/Initiations,2021-03-11 00:02:57,The Green Buttwhole,11.233333333333333,669.0,,44.0,76.0,593.0,,,8681.0,14.64,4.3,19.55,,,214.0,0.32,454.0,0.68,
7,MRG6DK03,Planning a birthday bash!!,2021-03-12 02:04:09,The Green Buttwhole,1.5333333333333332,81.0,,15.0,17.0,64.0,,,891.0,13.92,8.42,15.19,,,14.0,0.17,67.0,0.83,
8,xLj1aWLe,"Good Morning, Green Buttwhole",2021-03-12 06:04:17,The Green Buttwhole,6.966666666666667,469.0,,38.0,50.0,419.0,,,4369.0,10.43,0.93,16.48,,,165.0,0.35,304.0,0.65,
9,xBv56EGw,Untitled,2021-03-12 21:54:54,The Green Buttwhole,3.75,226.0,,22.0,35.0,191.0,,,2433.0,12.74,8.89,13.92,,,50.0,0.22,176.0,0.78,
10,xjYoV9Nk,NCAA Selection Sunday - March Madness Bracket Pool,2021-03-13 18:00:00,Women Watching Sports Live,1.0333333333333334,83.0,,2.0,14.0,69.0,,,535.0,7.75,1.88,8.52,,,9.0,0.11,74.0,0.89,
11,P0g7NnzV,A meeting in the hole,2021-03-13 22:35:04,The Green Buttwhole,10.233333333333333,5007.0,21.0,57.0,79.0,4928.0,0.259,0.741,54799.0,11.12,5.95,13.01,5.533333333333333,5.466666666666667,1330.0,0.27,3677.0,0.73,
12,xeEW3zEx,Let’s Play “Black Card Revoke” ,2021-03-13 23:19:46,The Function,2.8166666666666664,405.0,,4.0,48.0,357.0,,,5549.0,15.54,8.68,16.36,,,40.0,0.1,365.0,0.9,
13,PDYLOBpR,The Doctor Did It Again!,2021-03-14 01:33:06,The Green Buttwhole,1.0166666666666666,137.0,,28.0,30.0,107.0,,,1266.0,11.83,5.45,13.84,,,24.0,0.18,113.0,0.82,
